activate,batch_size,data_file,elapsed_s,gpu_id,initial_overlap,k,layer_num,level,m,mode,model_type,num_iters,overlap_change,returncode,sample_idx,success_rate,suffix_len,targeted
False,100,safety,646.9,3,,170,30,individual,300,replacement,gemma2-9b-131k,10,,0,14,0.0364,1,False
False,200,safety,217.5,0,0.4753086566925049,170,30,population,300,suffix,gemma2-9b-131k,30,0.3117,0,16,,3,True
False,200,safety,190.8,1,0.6706587076187134,170,30,population,300,suffix,gemma2-9b-131k,10,-0.7305,0,16,,3,False
True,100,safety,217.6,6,0.4764705882352941,170,30,individual,300,suffix,gemma2-9b-131k,10,,0,16,0.4,1,True
True,100,safety,442.6,5,0.3764705882352941,170,30,individual,300,replacement,gemma2-9b-131k,10,,0,15,0.38,1,True
False,100,safety,231.8,3,0.8764705882352941,170,30,individual,300,suffix,gemma2-9b-131k,10,,0,16,0.0,1,False
False,100,safety,508.6,2,,170,30,individual,300,replacement,gemma2-9b-131k,10,,0,15,0.1,1,False
False,200,safety,391.0,4,,170,30,population,300,replacement,gemma2-9b-131k,10,-0.6846,0,16,,1,False
False,200,safety,426.8,7,0.4753086566925049,170,30,population,300,replacement,gemma2-9b-131k,10,0.2348,0,16,,1,True
False,200,safety,177.9,5,0.7882353067398071,170,30,population,300,suffix,gemma2-9b-131k,10,-0.8353,0,17,,3,False
False,200,safety,228.6,6,0.35393258929252625,170,30,population,300,suffix,gemma2-9b-131k,30,0.1429,0,17,,3,True
True,100,safety,526.5,0,0.4764705882352941,170,30,individual,300,replacement,gemma2-9b-131k,10,,0,16,0.5,1,True
False,100,safety,226.6,7,0.9,170,30,individual,300,suffix,gemma2-9b-131k,10,,0,17,0.2,1,False
True,100,safety,267.9,4,0.36470588235294116,170,30,individual,300,suffix,gemma2-9b-131k,10,,0,17,0.2,1,True
False,200,safety,395.1,3,0.35393258929252625,170,30,population,300,replacement,gemma2-9b-131k,10,0.0965,0,17,,1,True
False,200,safety,393.1,2,,170,30,population,300,replacement,gemma2-9b-131k,10,-0.7149,0,17,,1,False
False,100,safety,699.0,1,,170,30,individual,300,replacement,gemma2-9b-131k,10,,0,16,0.0,1,False
False,200,safety,210.0,7,0.7364864945411682,170,30,population,300,suffix,gemma2-9b-131k,10,-0.7973,0,18,,3,False
False,200,safety,217.7,0,0.36734694242477417,170,30,population,300,suffix,gemma2-9b-131k,30,0.8889,0,18,,3,True
True,100,safety,177.4,2,0.4470588235294118,170,30,individual,300,suffix,gemma2-9b-131k,10,,0,18,1.0,1,True
False,200,safety,266.8,4,0.36734694242477417,170,30,population,300,replacement,gemma2-9b-131k,10,0.6614,0,18,,1,True
False,200,safety,268.5,3,,170,30,population,300,replacement,gemma2-9b-131k,10,-0.7867,0,18,,1,False
False,100,safety,221.0,1,0.7176470588235294,170,30,individual,300,suffix,gemma2-9b-131k,10,,0,18,0.0,1,False
True,100,safety,657.3,5,0.36470588235294116,170,30,individual,300,replacement,gemma2-9b-131k,10,,0,17,0.2308,1,True
True,100,safety,249.0,7,0.4470588235294118,170,30,individual,300,replacement,gemma2-9b-131k,10,,0,18,0.9714,1,True
False,200,safety,196.6,4,0.6882352828979492,170,30,population,300,suffix,gemma2-9b-131k,10,-0.7118,0,19,,3,False
False,200,safety,246.5,2,0.4753086566925049,170,30,population,300,suffix,gemma2-9b-131k,30,0.5195,0,19,,3,True
False,100,safety,737.6,6,,170,30,individual,300,replacement,gemma2-9b-131k,10,,0,17,0.0615,1,False
False,100,safety,400.7,0,,170,30,individual,300,replacement,gemma2-9b-131k,10,,0,18,0.2,1,False
True,100,safety,208.1,5,0.4647058823529412,170,30,individual,300,suffix,gemma2-9b-131k,10,,0,19,0.8,1,True
False,200,safety,377.5,3,0.4753086566925049,170,30,population,300,replacement,gemma2-9b-131k,10,0.2576,0,19,,1,True
False,100,safety,274.6,7,0.6,170,30,individual,300,suffix,gemma2-9b-131k,10,,0,19,0.2,1,False
False,200,safety,375.3,1,,170,30,population,300,replacement,gemma2-9b-131k,10,-0.6627,0,19,,1,False
False,200,safety,255.2,6,0.35625001788139343,170,30,population,300,suffix,gemma2-9b-131k,30,0.5088,0,20,,3,True
False,200,safety,240.7,0,0.6229507923126221,170,30,population,300,suffix,gemma2-9b-131k,10,-0.8361,0,20,,3,False
True,100,safety,418.2,4,0.4647058823529412,170,30,individual,300,replacement,gemma2-9b-131k,10,,0,19,0.6667,1,True
True,100,safety,268.4,7,0.34705882352941175,170,30,individual,300,suffix,gemma2-9b-131k,10,,0,20,0.4,1,True
False,100,safety,227.2,1,0.711764705882353,170,30,individual,300,suffix,gemma2-9b-131k,10,,0,20,0.4,1,False
False,200,safety,483.7,5,0.35625001788139343,170,30,population,300,replacement,gemma2-9b-131k,10,0.2222,0,20,,1,True
False,200,safety,247.1,4,0.5306122303009033,170,30,population,300,suffix,gemma2-9b-131k,30,0.3333,0,21,,3,True
False,200,safety,221.0,7,0.7134146094322205,170,30,population,300,suffix,gemma2-9b-131k,10,-0.7256,0,21,,3,False
False,200,safety,493.8,3,,170,30,population,300,replacement,gemma2-9b-131k,10,-0.6834,0,20,,1,False
False,100,safety,697.5,2,,170,30,individual,300,replacement,gemma2-9b-131k,10,,0,19,0.0167,1,False
